-20,765,В,2
-20,762,З,2
-9,756,ЮЗ,3
-6,751,ЮЗ,2
-1,753,З,1
-4,765,Ю,3
-8,765,Ю,1
-9,762,Ю,3
-15,759,В,2
-13,753,В,4
-9,751,Ю,3
-11,750,В,3
-8,753,В,1
-4,742,Ю,2
-1,735,В,2
-1,741,ЮВ,3
-4,749,Ю,1
-6,753,С,1
-7,753,В,1
-11,753,ЮВ,1
-12,756,В,1
-6,756,В,1
-3,756,З,4
-1,759,З,1
-6,760,З,2
-10,773,В,2
-14,774,ЮЗ,3
-12,762,ЮЗ,3
-3,760,ЮЗ,1
-5,763,ЮЗ,1
-4,758,ЮЗ,4
-6,746,ЮЗ,4
-13,744,В,2
-10,741,ЮЗ,2
-11,750,З,2
-14,751,ЮЗ,3
-13,746,ЮВ,2
-8,735,СЗ,2
-8,740,СЗ,4
-7,750,З,3
1,734,ЮЗ,4
3,739,ЮЗ,3
0,741,ЮЗ,4
0,728,ЮЗ,3
2,744,З,3
2,741,ЮЗ,3
2,738,ЮЗ,3
3,743,Ю,3
2,738,В,3
2,736,Ю,2
1,735,В,1
1,744,З,3
1,750,ЮЗ,5
2,747,ЮЗ,4
2,742,З,2
1,753,С,2
-2,752,СВ,3
0,752,С,2
0,751,ЮВ,2
3,746,Ю,2
4,741,В,1
0,738,В,1
2,735,ЮЗ,3
0,737,В,2
4,741,ЮВ,1
4,746,ЮЗ,4
5,741,ЮЗ,4
2,738,З,1
3,748,Ю,1
4,745,ЮВ,2
10,744,В,2
15,738,В,3
12,746,ЮЗ,2
8,756,З,2
9,759,С,2
7,754,С,4
10,753,С,2
11,752,СВ,4
10,749,СВ,3
15,748,СВ,4
17,746,СВ,2
17,747,В,2
20,753,ЮЗ,2
20,755,Ю,3
19,755,Ю,3
20,753,Ю,3
21,752,Ю,2
22,750,Ю,3
21,747,ЮЗ,2
20,747,С,2
9,743,В,4
8,747,В,3
8,758,В,2
11,759,ЮВ,3
12,756,ЮВ,4
12,753,ЮВ,2
15,748,З,2
19,746,Ю,2
18,742,З,2
9,746,СЗ,3
4,742,С,2
13,750,ЮЗ,3
16,752,ЮЗ,3
14,755,СЗ,4
15,752,З,1
17,752,СЗ,2
20,754,З,2
21,752,З,2
14,751,СВ,4
13,754,С,4
15,755,СВ,2
17,752,З,1
19,746,З,2
20,742,З,2
20,741,С,3
19,746,З,2
20,751,З,2
24,748,В,3
24,745,С,2
21,744,ЮЗ,3
12,738,В,1
10,741,ЮЗ,4
13,749,З,3
21,749,ЮЗ,3
22,751,З,1
27,752,ЮЗ,3
29,752,ЮЗ,2
29,750,ЮЗ,1
29,748,ЮЗ,1
18,751,С,4
