2022-01-01,-4,743,Ю,1
2022-01-02,-3,734,З,2
2022-01-03,-11,740,З,2
2022-01-04,-15,741,В,2
2022-01-05,-16,749,З,1
2022-01-06,-7,741,В,2
2022-01-07,0,739,ЮЗ,2
2022-01-08,-8,753,З,2
2022-01-09,-11,762,В,2
2022-01-10,-12,755,В,2
2022-01-11,-8,752,В,1
2022-01-12,-7,755,В,2
2022-01-13,-9,749,В,3
2022-01-14,-15,728,Ю,2
2022-01-15,-10,719,СЗ,3
2022-01-16,-6,736,З,2
2022-01-17,-6,743,ЮЗ,2
2022-01-18,-2,744,Ю,2
2022-01-19,-5,749,ЮВ,2
2022-01-20,-9,752,В,1
2022-01-21,-11,752,В,1
2022-01-22,-7,754,В,3
2022-01-23,-10,761,В,3
2022-01-24,-11,763,В,2
2022-01-25,-14,758,В,2
2022-01-26,-11,750,ЮЗ,1
2022-01-28,-7,751,В,2
2022-01-29,-12,747,В,1
2022-01-30,-2,740,В,1
2022-01-31,-3,745,В,3
2022-02-01,0,744,Ю,2
2022-02-02,-2,750,Ю,1
2022-02-03,0,748,Ю,2
2022-02-04,-2,742,В,2
2022-02-06,-3,743,З,1
2022-02-07,-5,747,З,1
2022-02-08,-5,751,Ю,1
2022-02-09,-2,751,ЮВ,2
2022-02-10,-6,746,В,3
2022-02-11,-1,746,З,2
2022-02-12,1,748,З,1
2022-02-13,-4,749,ЮЗ,3
2022-02-14,-2,755,Ю,1
2022-02-15,-4,754,ЮЗ,2
2022-02-16,-7,757,З,1
2022-02-17,-11,753,В,2
2022-02-18,-5,749,В,3
2022-02-19,-5,749,ЮВ,2
2022-02-20,1,740,ЮЗ,3
2022-02-21,1,744,З,2
2022-02-22,0,747,Ю,1
2022-02-23,1,746,ЮЗ,3
2022-02-24,1,755,ЮЗ,1
2022-02-25,-2,760,В,2
2022-02-26,-1,755,В,2
2022-02-27,1,755,В,3
2022-02-28,2,758,В,2
2022-03-01,1,758,СЗ,1
2022-03-02,-5,758,В,1
2022-03-03,-5,750,В,1
2022-03-04,-2,742,СВ,2
2022-03-05,-2,730,СВ,3
2022-03-06,-9,740,СЗ,3
2022-03-08,-7,749,В,2
2022-03-09,-7,752,СВ,2
2022-03-10,-6,756,СВ,2
2022-03-11,-7,755,СВ,3
2022-03-12,-7,754,СВ,2
2022-03-13,-5,755,З,1
2022-03-14,-8,752,В,1
2022-03-15,-6,756,В,4
2022-03-16,-8,760,В,4
2022-03-17,-3,764,С,2
2022-03-18,0,766,СВ,2
2022-03-19,2,766,З,1
2022-03-20,5,755,З,1
2022-03-21,0,749,С,2
2022-03-22,5,758,СЗ,2
2022-03-23,7,755,З,2
2022-03-24,6,752,З,2
2022-03-25,7,751,З,1
2022-03-26,5,743,Ю,2
2022-03-27,1,732,ЮЗ,2
2022-03-28,-3,742,СЗ,2
2022-03-29,5,737,З,4
2022-03-30,4,743,ЮЗ,2
2022-03-31,1,749,В,1
2022-04-01,7,748,ЮЗ,1
2022-04-02,9,743,Ю,1
2022-04-03,11,737,ЮЗ,3
2022-04-04,5,735,ЮЗ,4
2022-04-05,4,747,ЮЗ,3
2022-04-06,7,746,Ю,3
2022-04-07,8,749,ЮЗ,2
2022-04-08,16,749,ЮВ,2
2022-04-09,8,746,В,2
2022-04-10,11,749,В,1
2022-04-11,16,749,В,2
2022-04-12,14,747,СВ,2
2022-04-13,15,746,В,3
2022-04-14,11,743,ЮВ,2
2022-04-15,5,743,З,2
2022-04-16,11,752,З,1
2022-04-17,16,751,Ю,1
2022-04-18,18,752,ЮВ,1
2022-04-19,21,752,Ю,1
2022-04-20,17,749,СВ,1
2022-04-21,9,751,СВ,2
2022-04-22,15,750,СВ,3
2022-04-23,13,749,В,2
2022-04-24,14,751,ЮЗ,1
2022-04-25,19,750,З,2
2022-04-26,23,748,Ю,3
